,Artist,Title,Album,Path,OK/KO,Style,Genres,Labels
1135,Osémio Boémio,DEAD LISBON,Osémio Boémio - DEAD LISBON EP,/Volumes/TOSHIBA/Rekordbox_database_selected/Osémio Boémio - Osémio Boémio - DEAD LISBON EP - 04 DEAD LISBON.mp3,OK,error,error,error
1137,Osémio Boémio,WHITE NIGHT,Osémio Boémio - DEAD LISBON EP,/Volumes/TOSHIBA/Rekordbox_database_selected/Osémio Boémio - Osémio Boémio - DEAD LISBON EP - 09 WHITE NIGHT.mp3,OK,error,error,error
1139,Osémio Boémio,"YES, I'M DEAD",Osémio Boémio - DEAD LISBON EP,"/Volumes/TOSHIBA/Rekordbox_database_selected/Osémio Boémio - Osémio Boémio - DEAD LISBON EP - 08 YES, I'M DEAD.mp3",OK,error,error,error
1141,Osémio Boémio,JUG FT. RKEAT,Osémio Boémio - NO TIME 4 BAD DAYS EP,/Volumes/TOSHIBA/Rekordbox_database_selected/Osémio Boémio - Osémio Boémio - NO TIME 4 BAD DAYS EP - 03 JUG FT. RKEAT.mp3,OK,error,error,error
1143,Osémio Boémio,YUNG BOHEMIUN,Osémio Boémio - NO TIME 4 BAD DAYS EP,/Volumes/TOSHIBA/Rekordbox_database_selected/Osémio Boémio - Osémio Boémio - NO TIME 4 BAD DAYS EP - 01 YUNG BOHEMIUN.mp3,OK,error,error,error
1202,Pearson Sound X Clara!,Mi Cuerpo,Mi Cuerpo,/Volumes/TOSHIBA/Rekordbox_database_selected/Pearson Sound X Clara! - Mi Cuerpo - 01 Mi Cuerpo.mp3,OK,error,error,error
1204,Pearson Sound X Clara!,Mi Cuerpo (Club Instrumental),Mi Cuerpo,/Volumes/TOSHIBA/Rekordbox_database_selected/Pearson Sound X Clara! - Mi Cuerpo - 02 Mi Cuerpo (Club Instrumental).mp3,OK,error,error,error
1229,IBON,Forest Car,Kulør 001,/Volumes/TOSHIBA/Rekordbox_database_selected/IBON - Forest Car.mp3,OK,error,error,error
1239,Wsdm022,Unto,Piezo Lsd Superhero (All Files),/Volumes/TOSHIBA/Rekordbox_database_selected/WSDM022 - 2_Piezo - Unto.mp3,OK,error,error,error
1241,Wsdm022,Tb2,Piezo Lsd Superhero (All Files),/Volumes/TOSHIBA/Rekordbox_database_selected/WSDM022 - 3_Piezo + K-LONE - TB2.mp3,OK,error,error,error
1258,Ploy,Move Your Body,Ploy - 'The Edits' DIGITAL,/Volumes/TOSHIBA/Rekordbox_database_selected/Ploy - Ploy - 'The Edits' DIGITAL - 03 Move Your Body.mp3,OK,error,error,error
1260,Ploy,Lick It,Ploy - 'The Edits' DIGITAL,/Volumes/TOSHIBA/Rekordbox_database_selected/Ploy - Ploy - 'The Edits' DIGITAL - 01 Lick It.mp3,OK,error,error,error
1262,Ploy,Breathe,Ploy - 'The Edits' DIGITAL,/Volumes/TOSHIBA/Rekordbox_database_selected/Ploy - Ploy - 'The Edits' DIGITAL - 02 Breathe.mp3,OK,error,error,error
1266,Pluralist,Surface,CJAW013: Pluralist,/Volumes/TOSHIBA/Rekordbox_database_selected/Pluralist - CJAW013- Pluralist - 02 Surface.mp3,OK,error,error,error
1281,Qant,2093,Transgressive EP [VIBEZLTD93002],/Volumes/TOSHIBA/Rekordbox_database_selected/Qant - 2093.mp3,OK,error,error,error
1309,RDL Shellah,RDL - Streets (Club Mix)*,Streets,/Volumes/TOSHIBA/Rekordbox_database_selected/RDL Shellah - Streets - 03 RDL - Streets (Club Mix)-.mp3,OK,error,error,error
1311,RDL Shellah,RDL - Streets,Streets,/Volumes/TOSHIBA/Rekordbox_database_selected/RDL Shellah - Streets - 01 RDL - Streets.mp3,OK,error,error,error
