,Artist,Album,style,genres,labels
45,Tammo Hesselink,Easy To See,['Techno'],['Electronic'],Nous'klaer Audio
48,Conrad Pack,Receptor,"['Dub', 'Techno']",['Electronic'],SELN Recordings
49,Data Assault,ND006 - Black Earth EP,['Electro'],['Electronic'],Nice & Deadly
50,Tracy,Reconstructions Part 2,['Techno'],['Electronic'],Sonntag Morgen
51,Keepsakes,Ever So Merry LP,['Techno'],['Electronic'],Variance (2)
52,STILL,I (Remixed),"['House', 'Acid Jazz', 'Drum n Bass', 'Deep House', 'Downtempo', 'Garage House']","['Electronic', 'Funk / Soul']",Talkin' Loud
53,DJ Healer,Nothing 2 Loose,"['Ambient', 'Breakbeat', 'House']",['Electronic'],All Possible Worlds
54,DJ Healer,Planet Lonely,"['Ambient', 'Breakbeat', 'House']",['Electronic'],All Possible Worlds
56,DJ NERVOSO,DJ Nervoso,"['House', 'Techno', 'Kuduro']","['Electronic', 'Folk, World, & Country']",Príncipe
57,DJ NIGGA FOX,O Meu Estilo EP,"['House', 'African', 'Kuduro']","['Electronic', 'Folk, World, & Country']",Príncipe
61,TMSV,"Jungle, Vol. 1","['Drum n Bass', 'Jungle']",['Electronic'],Broken Records (83)
62,TMSV,"Jungle, Vol. 3","['Jungle', 'Drum n Bass']",['Electronic'],Not On Label (TMSV Self-released)
63,Donato Dozzy,Cassandra [Claque Musique],"['Deep Techno', 'Ambient', 'Drone']",['Electronic'],Claque Musique
64,downstairs J,"basement, etc.._","['Trip Hop', 'Downtempo', 'Acid House']",['Electronic'],Incienso
66,Henry Greenleaf,Fold Together EP,"['Breakbeat', 'UK Garage', 'Techno']",['Electronic'],Par Avion
67,Henry Greenleaf,Rush EP,"['Bass Music', 'Experimental']",['Electronic'],Version (2)
69,Fredo Santana,Fredo Kruger 2,"['Trap', 'Drill', 'Gangsta']",['Hip Hop'],Savage Squad Records
70,IBON,Kul 001,"['Techno', 'Trance']",['Electronic'],Kulør
71,IBON,Three Ways,['Techno'],['Electronic'],Kulør
72,Four Tet,New Energy,"['Ambient', 'House', 'Techno', 'Minimal']",['Electronic'],Text Records
73,Drew Sky,Fuk 2 Nite,"['House', 'Ghetto House']",['Electronic'],Dance Mania
74,Lurka,Full Clip _ BR Greaze,"['Bass Music', 'Dubstep', 'Dancehall', 'Halftime']",['Electronic'],Hotline Recordings
75,Lurka,Rhythm Hi-Tek,"['Grime', 'Hard Techno', 'Bass Music', 'Deconstructed Club', 'Abstract', 'Bleep', 'Dubstep', 'Dancehall', 'Bassline']",['Electronic'],Timedance
76,Lurka,Ritual Dingers _ Choke,"['Dubstep', 'Electro', 'Techno']",['Electronic'],Hotline Recordings
77,Lurka,Stush _ Wrapped Up,"['Grime', 'Techno']",['Electronic'],Hotline Recordings
78,Flowdan Frisco,Full Metal Jacket,['Grime'],['Electronic'],Tru Thoughts
79,Flowdan,Full Metal Jacket,['Grime'],['Electronic'],Tru Thoughts
80,Flowdan IRah,Full Metal Jacket,['Grime'],['Electronic'],Tru Thoughts
81,Marino Stephano,Future Trance 5,"['Trance', 'Euro House', 'Progressive Trance']",['Electronic'],Polystar (3)
82,Meo Lorenzo,Future Trance 5,"['Trance', 'Euro House', 'Progressive Trance']",['Electronic'],Polystar (3)
83,Human Resources,BAM001,"['Breakbeat', 'Bassline', 'Techno', 'Electro']",['Electronic'],Body Action Music
84,Miss Peppermint,Future Trance 5,"['Trance', 'Euro House', 'Progressive Trance']",['Electronic'],Polystar (3)
85,Terry Bones,Future Trance 5,"['Trance', 'Euro House', 'Progressive Trance']",['Electronic'],Polystar (3)
86,Senate,Gangstalker,"['Techno', 'Electro', 'Breakbeat', 'Bass Music']","['Electronic', 'Hip Hop']",Pacific Command
87,LCY,LCY,"['Pop Rock', 'Glam']",['Rock'],MF Records (4)
88,K-LONE,K-LONE - Sine Language,"['Techno', 'House', 'Grime', 'Electro', 'UK Garage', 'Broken Beat']",['Electronic'],Wisdom Teeth
89,Gaunt,Gaunt - She's No Patsy _ Spacebirds [NSM007],"['Techno', 'Leftfield', 'Experimental']",['Electronic'],Not So Much
90,EDMX,Mind Mechanixx,"['Electro', 'Techno', 'Industrial', 'Acid', 'Breakbeat']",['Electronic'],Power Vacuum
91,Mr.K,Red Handed,['Dubstep'],['Electronic'],White Peach
93,Lamont,Titanic _ Eyes Closed,"['Bass Music', 'Techno', 'Experimental']",['Electronic'],81
94,Lamont,Cut It Back EP,"['Dubstep', 'Bass Music']",['Electronic'],Version (2)
95,Lamont,Detached,"['Grime', 'Dubstep']",['Electronic'],81
97,Joe,Get Centred,['Techno'],['Electronic'],Cómeme
99,OL,OL - 'Dismeteo',"['Dub', 'Ambient', 'Leftfield', 'Techno']",['Electronic'],Motion Ward
100,Loop LF,Drifting Forwards,"['Dub Techno', 'Techno', 'Breakbeat', 'Experimental']",['Electronic'],Well Street Records
101,Loop LF,Natural XT EP,"['Minimal Techno', 'Glitch', 'Drum n Bass', 'Leftfield']",['Electronic'],Well Street Records
102,Loop LF,Stepping Back,"['Broken Beat', 'House', 'Techno']",['Electronic'],Well Street Records
103,Reflex Blue,Gotham EP,"['House', 'Progressive House', 'Bass Music']",['Electronic'],Craigie Knowes
104,Luca Lozano,Inner Peace EP,"['House', 'Breakbeat', 'Downtempo', 'Deep House', 'Bleep']",['Electronic'],Super Rhythm Trax
105,Luca Lozano,Outer Space EP,"['Breakbeat', 'Electro', 'House', 'Techno']",['Electronic'],Super Rhythm Trax
106,Luca Lozano,Summer Of Love EP,['House'],['Electronic'],Super Rhythm Trax
107,Headless Horseman,Headless Horseman 007,"['Techno', 'Industrial']",['Electronic'],Headless Horseman
108,The Analogue Cops,Heavy Hands,"['Techno', 'House']",['Electronic'],Restoration Records
109,Hi5Ghost,Hi5Ghost - No Sleep _ Peder Mannerfelt Remix,['Grime'],['Electronic'],Hotline Recordings
110,Sugar,Horsepower EP,['Techno'],['Electronic'],Kulør
111,Sugar,Kul 001,"['Techno', 'Trance']",['Electronic'],Kulør
112,Mall Grab,"How The Dogs Chill, Vol.1","['House', 'Leftfield', 'Breaks', 'Deep House']",['Electronic'],Looking For Trouble (2)
113,Matteo Coffetti,Hypnotecho'O,"['Techno', 'Downtempo', 'Tribal', 'House']",['Electronic'],Pho Bho Records
114,Notte Infinita,I Lost All My Data,"['Techno', 'Dubstep']",['Electronic'],INDEX:Records
115,Lil Durk,I’m Still a Hitta,"['Trap', 'Drill', 'Gangsta']",['Hip Hop'],Not On Label
116,nthng,Are You Here,"['Techno', 'Electro']",['Electronic'],Pacific Command
117,Filter Dread,Ice Rave,"['Experimental', 'Grime', 'Breakbeat']",['Electronic'],Sneaker Social Club
120,Overmono,Diamond Cut _ Bby,"['UK Garage', 'Breakbeat']",['Electronic'],XL Recordings
121,Paleman,Beezeldub,['House'],['Electronic'],81
122,Paleman,Like O,"['Bass Music', 'Experimental', 'UK Garage']",['Electronic'],81
123,Paleman,PLMN001,"['Techno', 'Bass Music']",['Electronic'],PLMN
124,Paleman,Searching,['Techno'],['Electronic'],Zehnin
125,Paleman,Yrs Ago _ Animus,"['Techno', 'Electro', 'House', 'Bass Music']",['Electronic'],81
126,Pangaea,Bone Sucka [HES033],"['Breakbeat', 'Techno']",['Electronic'],Hessle Audio
128,Pangaea,Inna Daze _ Won't Hurt,"['Bass Music', 'Dubstep']",['Electronic'],Hessle Audio
129,Legowelt,Immensity Of Cosmic Space,"['Techno', 'Acid House', 'Breakbeat']",['Electronic'],Unknown To The Unknown
130,Menzi,Impazamo,"['Experimental', 'Bass Music', 'Gqom']",['Electronic'],Hakuna Kulala
131,OH91,Skanks EP,"['Grime', 'UK Garage']",['Electronic'],White Peach
132,PEDRO,Damaia 2.0,"['Bass Music', 'House']",['Electronic'],Enchufada
134,PEDRO,DL,"['Ballad', 'Disco']","['Latin', 'Pop']",CBS
136,Robert Fleck,Injury Time,"['Abstract', 'Experimental', 'Speed Garage', 'Dubstep']",['Electronic'],Well Street Records
137,Robert Fleck,Soft Focus EP,"['Broken Beat', 'Techno', 'Dub']",['Electronic'],Well Street Records
138,Pearson Sound,Inside Out,"['Breakbeat', 'Techno', 'House']",['Electronic'],Hessle Audio
139,Pearson Sound,Rubble,['Techno'],['Electronic'],Pearson Sound
140,Pearson Sound,Thaw Cycle,['House'],['Electronic'],Pearson Sound
141,Randomer,HEK021 - Randomer - Bring _ Curtains,['Techno'],['Electronic'],Hemlock Recordings
142,Ploy,Intrigued By The Drum,"['Tribal', 'Techno']",['Electronic'],Timedance
143,Ploy,Iron Lungs,"['Techno', 'Tribal', 'Bassline']",['Electronic'],Timedance
145,Ploy,Ramos _ Roy's Rolls,"['Leftfield', 'Tribal', 'Techno']",['Electronic'],Timedance
146,Reflec,BHM,"['Techno', 'Breakbeat']",['Electronic'],Pacific Command
147,Radial,Inverso Mundi EP,['Techno'],['Electronic'],Mord
149,Various Artists,Pho Beat Bazar Vol. 1,"['Downtempo', 'Tribal']",['Electronic'],Pho Bho Records
150,Various Artists,XXIII __ VOLUME 4,"['Hard House', 'Hard Trance', 'House']",['Electronic'],Tidy
152,Ishan Sound & RIder Shafique,Ishan Sound Vs Rider Shafique,"['Dub', 'Dubstep']","['Electronic', 'Reggae']",Hotline Recordings
153,Low Jack,Jingles du Lieu-dit,"['Dancehall', 'Industrial', 'Breakbeat']","['Electronic', 'Reggae']",Les Disques De La Bretagne
154,Low Jack,Les Riddims du Lieu-dit,"['Dancehall', 'Industrial', 'Breakbeat']","['Electronic', 'Reggae']",Les Disques De La Bretagne
155,Low Jack,Virgin Traf 22 _ Grass 29,['Dancehall'],"['Electronic', 'Reggae']",Not On Label (Low Jack Self-released)
158,Stones Taro,Digital Vintage EP,"['Breakbeat', 'Breaks', 'UK Garage', 'House']",['Electronic'],Scuffed Recordings
159,Tessela,Blue 01,"['Techno', 'Electro', 'Broken Beat']",['Electronic'],Whities
160,Tessela,Hackney Parrot _ Helter Skelter,"['Bass Music', 'Jungle']",['Electronic'],Poly Kicks
161,Kahn & Neek,Kahn & Neek - Backchat _ Dubchat,"['Grime', 'Ghetto', 'Dancehall']","['Electronic', 'Reggae']",Hotline Recordings
162,Cousin,Ruff Draft,"['Grime', 'Garage House']",['Electronic'],81
163,YOKEL,Smell of Deer,['Abstract'],['Electronic'],Avon Terror Corps
164,Kromestar,Kalawanji _ Surgery,['Dubstep'],['Electronic'],Deep Medi Musik
165,Thomas P Heckmann,Acid Seduction,"['Acid', 'Techno']",['Electronic'],Afu Limited
166,Tolouse Low Trax,Decades Vol. 2,"['Experimental', 'Electro', 'Minimal', 'Techno', 'Industrial']",['Electronic'],Antinote
168,Samba,Kings,['Dubstep'],['Electronic'],"Deep, Dark And Dangerous"
169,Samba,Winona [Ep],['Dubstep'],['Electronic'],Deep Medi Musik
